id,0,1,2,3,4,5,6,7,8,9
9886,12123,64218,6950,10447,5844,27306,21836,44680,10200,563
9482,24909,9763,3600,28047,23916,31915,30944,9739,7095,1367
19326,9429,275771,333127,18203,28134,125709,38937,24202,27202,13203
9344,18484,9517,36136,137174,12718,1415,524,400,10474,259209
9071,31146,29825,13650,45145,14390,37659,27845,7301,8414,88641
8973,9003,20481,11772,12619,11343,16764,6948,14229,1977,43552
15730,47302,18499,11042,271826,4486,10000,148077,49218,305594,87081
47608,40156,26124,10212,22625,8359,26949,45565,17474,68430,61828
2293,2294,2255,9541,10358,87233,2292,2295,246403,323262,1832
9070,14908,10371,6499,10249,11940,12224,1499,14623,32307,25628
68274,38982,41209,14534,29078,5693,9410,17956,13501,63115,214216
48787,26722,9406,115241,89056,18568,104997,38091,86023,92119,81600
34574,55066,126117,10688,240745,77780,309299,68629,67276,1730,201198
1642,36288,22423,11457,14171,15556,15237,9311,10388,2924,19380
11472,771,38615,19840,788,2277,2611,772,9441,1833,14367
36196,134881,58680,9027,172897,35680,84105,340,32519,13785,14137
11980,9033,9011,4961,11428,10836,10263,46261,52021,33988,131689
58372,39934,2613,7511,71063,9647,238215,37633,340255,258749,364540
32646,10712,3902,202241,1808,1387,148033,258480,47620,238478,20024
10533,47821,45054,7093,61294,27461,625,11416,337747,14125,79698
56088,168283,83593,113286,159569,66660,33823,210864,77120,74485,105371
10802,140894,40072,21035,337674,9075,42258,12775,633,402,29140
10149,7303,17880,135418,17379,52050,21349,19931,30265,32590,98984
18402,9681,9903,76047,381289,392,39233,76846,8816,1715,1947
9348,2087,1647,37582,9912,419192,9619,10083,2669,74998,254904
139408,52338,13162,56085,285689,87343,2895,324333,16425,31462,9810
281,70859,13526,407448,9491,36826,11879,1089,8665,12162,97630
5967,40641,85942,152797,60773,185949,2433,105572,5590,4269,31551
79593,14252,14143,264321,226630,4288,393,31694,181753,25423,56413
47939,32221,27224,54982,18182,10118,83714,14370,18080,19053,11137
36834,45019,125842,1590,42983,36773,73686,42032,11236,47493,8996
9090,9801,41779,289673,1959,74722,299618,266294,17949,10158,14034
3512,60505,11119,9086,9278,16124,10176,20333,42123,9624,8845
52856,10385,48259,18417,11610,9043,13167,253235,41890,100783,20551
77350,91325,41934,42981,24257,85778,52059,117036,203829,168283,49645
9560,18183,31774,76544,468,115872,151138,93528,215373,41927,4553
9804,8367,10448,335778,20348,11362,9044,15267,6072,9922,581
31611,17274,9422,75490,50677,9953,158262,89547,9440,476,49370
65796,9604,14746,22004,70074,399173,20287,505,14729,35588,9333
49805,12616,15059,125520,36234,451,2625,11060,47232,25497,12767
26258,27295,13704,71887,28601,6980,15043,126934,77921,42303,65156
50797,38318,124295,38837,20714,38361,73100,47851,51300,83446,301016
19155,16405,18178,31681,84569,13923,100061,31174,975,28,11778
76,80,132344,9081,23949,85350,83346,12404,14022,42807,9571
11017,19952,9490,41282,15278,51486,24065,17130,9614,10663,34299
37141,16876,96279,10677,63437,27303,27768,33408,9545,70457,61532
9382,1793,10860,26686,11610,16561,37296,39282,14741,42597,12661
6715,331393,82623,22796,14942,32648,45325,10823,52741,41890,73473
18256,14510,13848,21619,1694,10836,18191,47090,24341,12088,101363
22625,12723,1921,5332,42084,63639,129628,32059,34875,14292,117565
2292,2295,87233,2294,10358,9541,246403,323262,2255,2293,1832
1909,199341,22279,28628,49184,171982,27444,35810,3640,3426,987
